MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-540235,,,,,,,
Concatenation Date: 2023Jun13 11:05:23 GMT-08:00,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,                     GMT-08:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1680075480,           2023-03-29 07:38:00,           2023-03-28 23:38:00,3.48,12.688,10.456,98.543227,0.929
1680075780,           2023-03-29 07:43:00,           2023-03-28 23:43:00,3.48,12.688,10.448,98.46783,0.929
1680076080,           2023-03-29 07:48:00,           2023-03-28 23:48:00,3.48,12.679,10.446,98.429071,0.929
1680076380,           2023-03-29 07:53:00,           2023-03-28 23:53:00,3.48,12.661,10.456,98.483441,0.929
1680076680,           2023-03-29 07:58:00,           2023-03-28 23:58:00,3.48,12.67,10.452,98.465686,0.929
1680076980,           2023-03-29 08:03:00,           2023-03-29 00:03:00,3.48,12.652,10.446,98.369345,0.928
1680077280,           2023-03-29 08:08:00,           2023-03-29 00:08:00,3.48,12.661,10.459,98.511698,0.929
1680077580,           2023-03-29 08:13:00,           2023-03-29 00:13:00,3.48,12.635,10.463,98.491771,0.929
1680077880,           2023-03-29 08:18:00,           2023-03-29 00:18:00,3.48,12.617,10.467,98.489535,0.929
1680078180,           2023-03-29 08:23:00,           2023-03-29 00:23:00,3.48,12.617,10.466,98.480125,0.929
1680078480,           2023-03-29 08:28:00,           2023-03-29 00:28:00,3.48,12.626,10.462,98.462422,0.929
1680078780,           2023-03-29 08:33:00,           2023-03-29 00:33:00,3.48,12.599,10.46,98.383809,0.929
1680079080,           2023-03-29 08:38:00,           2023-03-29 00:38:00,3.48,12.599,10.466,98.440243,0.929
1680079380,           2023-03-29 08:43:00,           2023-03-29 00:43:00,3.48,12.582,10.468,98.421384,0.929
1680079680,           2023-03-29 08:48:00,           2023-03-29 00:48:00,3.48,12.564,10.484,98.531874,0.929
1680079980,           2023-03-29 08:53:00,           2023-03-29 00:53:00,3.48,12.564,10.477,98.466086,0.929
1680080280,           2023-03-29 08:58:00,           2023-03-29 00:58:00,3.48,12.52,10.485,98.443638,0.929
1680080580,           2023-03-29 09:03:00,           2023-03-29 01:03:00,3.48,12.52,10.485,98.443638,0.929
1680080880,           2023-03-29 09:08:00,           2023-03-29 01:08:00,3.48,12.511,10.49,98.470605,0.929
1680081180,           2023-03-29 09:13:00,           2023-03-29 01:13:00,3.48,12.476,10.495,98.439821,0.929
1680081480,           2023-03-29 09:18:00,           2023-03-29 01:18:00,3.48,12.467,10.501,98.476105,0.929
1680081780,           2023-03-29 09:23:00,           2023-03-29 01:23:00,3.48,12.467,10.504,98.504238,0.929
1680082080,           2023-03-29 09:28:00,           2023-03-29 01:28:00,3.48,12.467,10.497,98.438594,0.929
1680082380,           2023-03-29 09:33:00,           2023-03-29 01:33:00,3.48,12.431,10.507,98.452357,0.929
1680082680,           2023-03-29 09:38:00,           2023-03-29 01:38:00,3.48,12.449,10.489,98.323631,0.929
1680082980,           2023-03-29 09:43:00,           2023-03-29 01:43:00,3.48,12.422,10.51,98.460461,0.929
1680083280,           2023-03-29 09:48:00,           2023-03-29 01:48:00,3.48,12.422,10.497,98.338674,0.929
1680083580,           2023-03-29 09:53:00,           2023-03-29 01:53:00,3.48,12.405,10.52,98.516319,0.929
1680083880,           2023-03-29 09:58:00,           2023-03-29 01:58:00,3.48,12.414,10.493,98.283446,0.929
1680084180,           2023-03-29 10:03:00,           2023-03-29 02:03:00,3.48,12.378,10.515,98.409457,0.929
1680084480,           2023-03-29 10:08:00,           2023-03-29 02:08:00,3.48,12.36,10.524,98.453632,0.929
1680084780,           2023-03-29 10:13:00,           2023-03-29 02:13:00,3.48,12.369,10.524,98.473659,0.93
1680085080,           2023-03-29 10:18:00,           2023-03-29 02:18:00,3.48,12.36,10.511,98.332015,0.929
1680085380,           2023-03-29 10:23:00,           2023-03-29 02:23:00,3.48,12.334,10.518,98.339682,0.929
1680085680,           2023-03-29 10:28:00,           2023-03-29 02:28:00,3.48,12.307,10.531,98.401118,0.929
1680085980,           2023-03-29 10:33:00,           2023-03-29 02:33:00,3.47,12.307,10.539,98.475869,0.929
1680086280,           2023-03-29 10:38:00,           2023-03-29 02:38:00,3.48,12.29,10.54,98.447339,0.929
1680086580,           2023-03-29 10:43:00,           2023-03-29 02:43:00,3.48,12.29,10.537,98.419318,0.929
1680086880,           2023-03-29 10:48:00,           2023-03-29 02:48:00,3.48,12.281,10.528,98.315227,0.929
1680087180,           2023-03-29 10:53:00,           2023-03-29 02:53:00,3.47,12.272,10.526,98.276528,0.928
1680087480,           2023-03-29 10:58:00,           2023-03-29 02:58:00,3.47,12.272,10.538,98.388566,0.929
1680087780,           2023-03-29 11:03:00,           2023-03-29 03:03:00,3.47,12.236,10.548,98.401683,0.929
1680088080,           2023-03-29 11:08:00,           2023-03-29 03:08:00,3.47,12.227,10.542,98.325661,0.929
1680088380,           2023-03-29 11:13:00,           2023-03-29 03:13:00,3.48,12.236,10.544,98.364368,0.929
1680088680,           2023-03-29 11:18:00,           2023-03-29 03:18:00,3.48,12.219,10.544,98.326492,0.929
1680088980,           2023-03-29 11:23:00,           2023-03-29 03:23:00,3.48,12.219,10.543,98.317167,0.929
1680089280,           2023-03-29 11:28:00,           2023-03-29 03:28:00,3.48,12.201,10.557,98.407572,0.929
1680089580,           2023-03-29 11:33:00,           2023-03-29 03:33:00,3.48,12.183,10.552,98.320837,0.929
1680089880,           2023-03-29 11:38:00,           2023-03-29 03:38:00,3.48,12.183,10.565,98.441968,0.929
1680090180,           2023-03-29 11:43:00,           2023-03-29 03:43:00,3.48,12.156,10.564,98.372398,0.929
1680090480,           2023-03-29 11:48:00,           2023-03-29 03:48:00,3.48,12.165,10.556,98.31797,0.929
1680090780,           2023-03-29 11:53:00,           2023-03-29 03:53:00,3.48,12.148,10.557,98.289375,0.929
1680091080,           2023-03-29 11:58:00,           2023-03-29 03:58:00,3.48,12.13,10.576,98.426064,0.929
1680091380,           2023-03-29 12:03:00,           2023-03-29 04:03:00,3.48,12.121,10.576,98.405961,0.929
1680091680,           2023-03-29 12:08:00,           2023-03-29 04:08:00,3.48,12.112,10.572,98.348649,0.929
1680091980,           2023-03-29 12:13:00,           2023-03-29 04:13:00,3.48,12.085,10.577,98.334858,0.929
1680092280,           2023-03-29 12:18:00,           2023-03-29 04:18:00,3.48,12.121,10.565,98.30361,0.929
1680092580,           2023-03-29 12:23:00,           2023-03-29 04:23:00,3.48,12.094,10.568,98.271268,0.929
1680092880,           2023-03-29 12:28:00,           2023-03-29 04:28:00,3.48,12.076,10.581,98.351939,0.929
1680093180,           2023-03-29 12:33:00,           2023-03-29 04:33:00,3.48,12.068,10.589,98.408414,0.929
1680093480,           2023-03-29 12:38:00,           2023-03-29 04:38:00,3.48,12.05,10.597,98.44249,0.929
1680093780,           2023-03-29 12:43:00,           2023-03-29 04:43:00,3.48,12.05,10.599,98.46107,0.93
1680094080,           2023-03-29 12:48:00,           2023-03-29 04:48:00,3.48,12.05,10.584,98.321725,0.929
1680094380,           2023-03-29 12:53:00,           2023-03-29 04:53:00,3.48,12.041,10.587,98.329478,0.929
1680094680,           2023-03-29 12:58:00,           2023-03-29 04:58:00,3.48,12.032,10.586,98.300078,0.929
1680094980,           2023-03-29 13:03:00,           2023-03-29 05:03:00,3.48,12.014,10.593,98.324831,0.929
1680095280,           2023-03-29 13:08:00,           2023-03-29 05:08:00,3.48,12.023,10.6,98.409942,0.929
1680095580,           2023-03-29 13:13:00,           2023-03-29 05:13:00,3.48,12.023,10.588,98.298535,0.929
1680095880,           2023-03-29 13:18:00,           2023-03-29 05:18:00,3.48,12.005,10.589,98.267587,0.929
1680096180,           2023-03-29 13:23:00,           2023-03-29 05:23:00,3.48,11.988,10.605,98.378019,0.929
1680096480,           2023-03-29 13:28:00,           2023-03-29 05:28:00,3.48,11.979,10.614,98.441348,0.929
1680096780,           2023-03-29 13:33:00,           2023-03-29 05:33:00,3.48,11.979,10.596,98.274404,0.929
1680097080,           2023-03-29 13:38:00,           2023-03-29 05:38:00,3.48,11.961,10.599,98.261967,0.929
1680097380,           2023-03-29 13:43:00,           2023-03-29 05:43:00,3.48,11.988,10.581,98.155381,0.928
1680097680,           2023-03-29 13:48:00,           2023-03-29 05:48:00,3.48,11.961,10.607,98.336134,0.929
1680097980,           2023-03-29 13:53:00,           2023-03-29 05:53:00,3.48,11.952,10.614,98.380873,0.929
1680098280,           2023-03-29 13:58:00,           2023-03-29 05:58:00,3.48,11.943,10.612,98.342182,0.929
1680098580,           2023-03-29 14:03:00,           2023-03-29 06:03:00,3.48,11.943,10.606,98.28658,0.929
1680098880,           2023-03-29 14:08:00,           2023-03-29 06:08:00,3.48,11.952,10.601,98.260376,0.929
1680099180,           2023-03-29 14:13:00,           2023-03-29 06:13:00,3.48,11.952,10.599,98.241838,0.929
1680099480,           2023-03-29 14:18:00,           2023-03-29 06:18:00,3.48,11.934,10.618,98.377621,0.929
1680099780,           2023-03-29 14:23:00,           2023-03-29 06:23:00,3.48,11.943,10.608,98.305114,0.929
1680100080,           2023-03-29 14:28:00,           2023-03-29 06:28:00,3.48,11.943,10.613,98.351449,0.929
1680100380,           2023-03-29 14:33:00,           2023-03-29 06:33:00,3.48,11.943,10.614,98.360716,0.929
1680100680,           2023-03-29 14:38:00,           2023-03-29 06:38:00,3.48,11.952,10.601,98.260376,0.929
1680100980,           2023-03-29 14:43:00,           2023-03-29 06:43:00,3.48,11.934,10.618,98.377621,0.929
1680101280,           2023-03-29 14:48:00,           2023-03-29 06:48:00,3.48,11.916,10.624,98.392866,0.929
1680101580,           2023-03-29 14:53:00,           2023-03-29 06:53:00,3.48,11.925,10.617,98.348196,0.929
